Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude,year,Date
2017S004615    ,Sant Marti,el Camp de l'Arpa del Clot,Las Navas de Tolosa                               ,Thursday,5,25,14,Afternoon,1,0,1,3,2.185272,41.416365,2017,2017-05-25
2017S007775    ,Sant Marti,el Camp de l'Arpa del Clot,Indústria / Trinxant                              ,Wednesday,9,20,12,Morning,1,0,1,2,2.183245,41.416336,2017,2017-09-20
2017S004484    ,Sant Marti,el Camp de l'Arpa del Clot,Trinxant / Indústria                              ,Saturday,5,20,21,Afternoon,1,0,1,2,2.183245,41.416336,2017,2017-05-20
2017S010680    ,Sant Marti,el Camp de l'Arpa del Clot,Indústria                                         ,Tuesday,12,26,20,Afternoon,2,0,2,1,2.183561,41.416372,2017,2017-12-26
2017S005152    ,Sant Marti,el Camp de l'Arpa del Clot,Indústria                                         ,Monday,6,12,15,Afternoon,1,0,1,1,2.184059,41.416763,2017,2017-06-12
2017S003932    ,Sant Marti,el Camp de l'Arpa del Clot,Maragall                                          ,Wednesday,5,3,20,Afternoon,1,0,1,1,2.181225,41.413958,2017,2017-05-03
2017S010348    ,Sant Marti,el Camp de l'Arpa del Clot,Indústria                                         ,Thursday,12,14,20,Afternoon,1,0,1,2,2.18229,41.415772,2017,2017-12-14
2017S000245    ,Sant Marti,el Camp de l'Arpa del Clot,ST ANTONI M CLARET / Pg Maragall                  ,Wednesday,1,11,7,Morning,1,0,1,2,2.180453,41.41579,2017,2017-01-11
2017S005695    ,Sant Marti,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret / Guinardó               ,Friday,6,30,12,Morning,1,0,1,2,2.18114,41.416295,2017,2017-06-30
2017S007384    ,Sant Marti,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret                          ,Monday,9,4,16,Afternoon,0,1,1,2,2.176324,41.412546,2017,2017-09-04
2017S008080    ,Sant Marti,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret                          ,Saturday,9,30,19,Afternoon,1,0,1,2,2.176324,41.412546,2017,2017-09-30
2017S003439    ,Sant Marti,el Camp de l'Arpa del Clot,Còrsega / Còrsega                                 ,Monday,4,17,14,Afternoon,1,0,1,2,2.178314,41.410784,2017,2017-04-17
2017S002410    ,Sant Marti,el Camp de l'Arpa del Clot,CÒRSEGA / Dos de Maig                             ,Saturday,3,25,14,Afternoon,4,0,4,2,2.177719,41.410323,2017,2017-03-25
2017S009296    ,Sant Marti,el Camp de l'Arpa del Clot,Indústria                                         ,Thursday,11,9,22,Night,1,0,1,1,2.17674,41.411445,2017,2017-11-09
2017S010102    ,Sant Marti,el Camp de l'Arpa del Clot,Rosselló / Independència                          ,Monday,12,4,0,Night,2,0,2,2,2.1801,41.410287,2017,2017-12-04
2017S002158    ,Sant Marti,el Camp de l'Arpa del Clot,VALÈNCIA                                          ,Friday,3,17,16,Afternoon,1,0,1,2,2.184855,41.408993,2017,2017-03-17
2017S007606    ,Sant Marti,el Camp de l'Arpa del Clot,València                                          ,Thursday,9,14,14,Afternoon,1,0,1,2,2.154877,41.38621,2017,2017-09-14
2017S007805    ,Sant Marti,el Camp de l'Arpa del Clot,València / Independència                          ,Wednesday,9,20,20,Afternoon,0,1,1,2,2.183407,41.407785,2017,2017-09-20
2017S008987    ,Sant Marti,el Camp de l'Arpa del Clot,València                                          ,Monday,10,30,20,Afternoon,1,0,1,2,2.184033,41.408102,2017,2017-10-30
2017S002244    ,Sant Marti,el Camp de l'Arpa del Clot,ARAGÓ / Corunya                                   ,Monday,3,20,19,Afternoon,1,0,1,2,2.185732,41.407803,2017,2017-03-20
2017S001012    ,Sant Marti,el Camp de l'Arpa del Clot,MALLORCA                                          ,Tuesday,2,7,11,Morning,1,0,1,1,2.181775,41.408393,2017,2017-02-07
2017S009722    ,Sant Marti,el Camp de l'Arpa del Clot,Mallorca                                          ,Wednesday,11,22,20,Afternoon,1,0,1,2,2.181955,41.408529,2017,2017-11-22
2017S001895    ,Sant Marti,el Camp de l'Arpa del Clot,DOS DE MAIG / Mallorca                            ,Wednesday,3,8,12,Morning,1,0,1,2,2.181123,41.407749,2017,2017-03-08
2017S008277    ,Sant Marti,el Camp de l'Arpa del Clot,Mallorca / Dos de Maig                            ,Saturday,10,7,6,Morning,2,0,2,4,2.181123,41.407749,2017,2017-10-07
2017S004380    ,Sant Marti,el Camp de l'Arpa del Clot,València / Independència                          ,Wednesday,5,17,13,Morning,0,0,0,2,2.183407,41.407785,2017,2017-05-17
2017S001233    ,Sant Marti,el Camp de l'Arpa del Clot,VALÈNCIA                                          ,Tuesday,2,14,16,Afternoon,1,0,1,1,2.185751,41.409684,2017,2017-02-14
2017S007303    ,Sant Marti,el Camp de l'Arpa del Clot,València                                          ,Thursday,8,31,21,Afternoon,0,1,1,1,2.185811,41.40973,2017,2017-08-31
2017S007003    ,Sant Marti,el Camp de l'Arpa del Clot,Aragó / Corunya                                   ,Tuesday,8,15,18,Afternoon,1,0,1,2,2.185732,41.407803,2017,2017-08-15
2017S000893    ,Sant Marti,el Camp de l'Arpa del Clot,ARAGÓ                                             ,Thursday,2,2,9,Morning,1,0,1,2,2.18647,41.408498,2017,2017-02-02
2017S001163    ,Sant Marti,el Camp de l'Arpa del Clot,AV MERIDIANA / Aragó                              ,Saturday,2,11,15,Afternoon,1,0,1,2,2.186855,41.408523,2017,2017-02-11
2017S007277    ,Sant Marti,el Camp de l'Arpa del Clot,Independència / Enamorats                         ,Thursday,8,31,7,Morning,2,0,2,3,2.183965,41.407337,2017,2017-08-31
2017S002245    ,Sant Marti,el Clot,AV MERIDIANA / Sèquia Comtal                      ,Monday,3,20,19,Afternoon,1,0,1,1,2.186855,41.408523,2017,2017-03-20
2017S009302    ,Sant Marti,el Clot,Meridiana                                         ,Friday,11,10,11,Morning,1,0,1,1,2.187185,41.408131,2017,2017-11-10
2017S002101    ,Sant Marti,el Clot,INDEPENDÈNCIA / Aragó                             ,Wednesday,3,15,23,Night,1,0,1,1,2.18452,41.406912,2017,2017-03-15
2017S005169    ,Sant Marti,el Clot,Corts Catalanes / Glòries Catalanes               ,Tuesday,6,13,9,Morning,1,0,1,2,2.185863,41.402617,2017,2017-06-13
2017S006669    ,Sant Marti,el Clot,Corts Catalanes                                   ,Tuesday,8,1,19,Afternoon,1,0,1,2,2.188084,41.404624,2017,2017-08-01
2017S005643    ,Sant Marti,el Clot,Badajoz / Diagonal                                ,Wednesday,6,28,19,Afternoon,1,0,1,2,2.188682,41.403765,2017,2017-06-28
2017S000296    ,Sant Marti,el Clot,INDEPENDÈNCIA / Av Meridiana                      ,Thursday,1,12,12,Morning,1,0,1,2,2.186854,41.405403,2017,2017-01-12
2017S000609    ,Sant Marti,el Clot,ARAGÓ                                             ,Monday,1,23,16,Afternoon,1,0,1,2,2.185564,41.407541,2017,2017-01-23
2017S005444    ,Sant Marti,Sant Martí de Provençals,Corts Catalanes                                   ,Wednesday,6,21,19,Afternoon,1,0,1,1,2.196643,41.411561,2017,2017-06-21
2017S007332    ,Sant Marti,Sant Martí de Provençals,Corts Catalanes / Espronceda                      ,Friday,9,1,18,Afternoon,0,0,0,1,2.197063,41.411044,2017,2017-09-01
2017S000726    ,Sant Marti,Sant Martí de Provençals,RBLA GUIPÚSCOA / Espronceda                       ,Friday,1,27,17,Afternoon,2,0,2,2,2.193542,41.413696,2017,2017-01-27
2017S001891    ,Sant Marti,Sant Martí de Provençals,RBLA GUIPÚSCOA                                    ,Wednesday,3,8,10,Morning,1,0,1,2,2.194216,41.414467,2017,2017-03-08
2017S000532    ,Sant Marti,el Clot,INDEPENDÈNCIA                                     ,Friday,1,20,11,Morning,1,0,1,2,2.186061,41.405891,2017,2017-01-20
2017S006453    ,Sant Marti,el Clot,Consell de Cent / Independència                   ,Monday,7,24,15,Afternoon,1,0,1,2,2.185657,41.406065,2017,2017-07-24
2017S004345    ,Sant Marti,el Camp de l'Arpa del Clot,València                                          ,Tuesday,5,16,13,Morning,1,0,1,2,2.186425,41.40991,2017,2017-05-16
